"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
1,0.5,1,209700,4886,741940,0
1,0.5,1,419400,5730,779522,0
1,0.5,1,838800,6229,779811,0
1,0.5,1,1258200,6599,802723,0
1,0.5,1,1677600,6621,793292,0
1,0.5,1,2097000,6755,791658,0
1,0.5,1,4194000,6946,808699,0
1,0.5,1,8388000,7049,805957,0
1,0.5,1,12582000,6982,804113,0
1,0.5,1,16776000,6987,805521,0
1,0.5,1,20970000,6980,796933,0
1,0.5,1,2.097e+09,7011,806349,0
1,0.5,1,2.097e+12,7052,802649,0
1,0.5,1,2.097e+15,7058,811973,0
1,0.75,0.575,419.4,497,109920,136
1,0.75,0.575,838.8,489,111665,131
1,0.75,0.575,1258.2,527,119640,151
1,0.75,0.575,1677.6,538,119973,149
1,0.75,0.575,2097,515,117615,161
1,0.75,0.575,4194,606,136593,222
1,0.75,0.575,8388,771,177885,312
1,0.75,0.575,12582,910,204453,412
1,0.75,0.575,16776,1011,230806,469
1,0.75,0.575,20970,1005,228227,526
1,0.75,0.575,41940,1299,295866,771
1,0.75,0.575,83880,1871,390946,1184
1,0.75,0.575,125820,1993,427363,1328
1,0.75,0.575,167760,2473,494734,1571
1,0.75,0.575,209700,2576,522052,1679
1,0.75,0.575,419400,3212,594783,2154
1,0.75,0.575,838800,3942,667214,2769
1,0.75,0.575,1258200,4389,706149,3239
1,0.75,0.575,1677600,4516,703805,3336
1,0.75,0.575,2097000,4854,719258,3389
1,0.75,0.575,4194000,5185,736196,4079
1,0.75,0.575,8388000,5222,730338,4052
1,0.75,0.575,12582000,5348,744604,4067
1,0.75,0.575,16776000,5323,744310,4011
1,0.75,0.575,20970000,5416,753194,4203
1,0.75,0.575,2.097e+09,5349,740657,4078
1,0.75,0.575,2.097e+12,5296,734334,4085
1,0.75,0.575,2.097e+15,5263,739054,4171
1,0.75,1,419.4,1384,304276,0
1,0.75,1,838.8,1379,306404,0
1,0.75,1,1258.2,1384,302335,0
1,0.75,1,1677.6,1425,315715,0
1,0.75,1,2097,1365,305517,0
1,0.75,1,4194,1482,321815,0
1,0.75,1,8388,1735,369917,0
1,0.75,1,12582,1889,403584,0
1,0.75,1,16776,2085,441272,0
1,0.75,1,20970,2354,480869,0
1,0.75,1,41940,2814,546026,0
1,0.75,1,83880,3779,656332,0
1,0.75,1,125820,4136,698261,0
1,0.75,1,167760,4430,702979,0
1,0.75,1,209700,4608,731725,0
1,0.75,1,419400,5457,767997,0
1,0.75,1,838800,6016,770158,0
1,0.75,1,1258200,6374,787316,0
1,0.75,1,1677600,6459,781265,0
1,0.75,1,2097000,6556,789771,0
1,0.75,1,4194000,6790,792619,0
1,0.75,1,8388000,6764,794306,0
1,0.75,1,12582000,6896,805033,0
1,0.75,1,16776000,6840,794727,0
1,0.75,1,20970000,6757,789868,0
1,0.75,1,2.097e+09,6852,796573,0
1,0.75,1,2.097e+12,6813,794306,0
1,0.75,1,2.097e+15,6894,790593,0
1,0.9,0.575,419.4,566,128020,151
1,0.9,0.575,838.8,589,128161,148
1,0.9,0.575,1258.2,560,122791,155
1,0.9,0.575,1677.6,602,135516,151
1,0.9,0.575,2097,598,129346,154
1,0.9,0.575,4194,615,136614,181
1,0.9,0.575,8388,680,153106,237
1,0.9,0.575,12582,791,181093,293
1,0.9,0.575,16776,818,186762,363
1,0.9,0.575,20970,924,210790,436
1,0.9,0.575,41940,1103,244835,662
1,0.9,0.575,83880,1588,343877,987
1,0.9,0.575,125820,1692,366435,1160
1,0.9,0.575,167760,1854,387944,1226
1,0.9,0.575,209700,2001,418533,1344
1,0.9,0.575,419400,2613,517302,1847
1,0.9,0.575,838800,3161,584591,2322
1,0.9,0.575,1258200,3640,637000,2702
1,0.9,0.575,1677600,3987,662559,2986
1,0.9,0.575,2097000,4115,672536,2968
1,0.9,0.575,4194000,4282,679899,3102
1,0.9,0.575,8388000,4363,682033,3212
1,0.9,0.575,12582000,4426,687478,3280
1,0.9,0.575,16776000,4454,691670,3276
1,0.9,0.575,20970000,4422,689199,3207
1,0.9,0.575,2.097e+09,4516,694329,3242
1,0.9,0.575,2.097e+12,4523,697354,3334
1,0.9,0.575,2.097e+15,4558,694699,3320
1,0.9,1,419.4,1411,311444,0
1,0.9,1,838.8,1512,326870,0
1,0.9,1,1258.2,1455,319738,0
1,0.9,1,1677.6,1476,320028,0
1,0.9,1,2097,1500,326553,0
1,0.9,1,4194,1536,332458,0
1,0.9,1,8388,1722,375063,0
1,0.9,1,12582,1736,368545,0
1,0.9,1,16776,2008,426042,0
1,0.9,1,20970,2004,422650,0
1,0.9,1,41940,2647,523233,0
1,0.9,1,83880,3349,611170,0
1,0.9,1,125820,3564,629406,0
1,0.9,1,167760,4063,683670,0
1,0.9,1,209700,4219,695816,0
1,0.9,1,419400,4804,735536,0
1,0.9,1,838800,5611,767957,0
1,0.9,1,1258200,5795,770391,0
1,0.9,1,1677600,5998,778812,0
1,0.9,1,2097000,6148,777161,0
1,0.9,1,4194000,6307,782518,0
1,0.9,1,8388000,6411,780570,0
1,0.9,1,12582000,6449,783364,0
1,0.9,1,16776000,6470,786719,0
1,0.9,1,20970000,6416,783583,0
1,0.9,1,2.097e+09,6441,783885,0
1,0.9,1,2.097e+12,6526,778913,0
1,0.9,1,2.097e+15,6478,786406,0
1,1,0.575,419.4,664,151182,163
1,1,0.575,838.8,664,151182,163
1,1,0.575,1258.2,664,151182,163
1,1,0.575,1677.6,664,151182,163
1,1,0.575,2097,664,151182,163
1,1,0.575,4194,664,151182,163
1,1,0.575,8388,664,151182,163
1,1,0.575,12582,664,151182,163
1,1,0.575,16776,664,151182,163
1,1,0.575,20970,664,151182,163
