"t","Pp","Virus_D","Productive"
46,0.575,3.5434471800817,5541
47,0.575,3.5434471800817,5579
48,0.575,3.5434471800817,4797
49,0.575,3.5434471800817,3906
50,0.575,3.5434471800817,3169
51,0.575,3.5434471800817,2595
52,0.575,3.5434471800817,2098
53,0.575,3.5434471800817,1685
54,0.575,3.5434471800817,1377
55,0.575,3.5434471800817,1116
56,0.575,3.5434471800817,922
57,0.575,3.5434471800817,765
58,0.575,3.5434471800817,636
59,0.575,3.5434471800817,501
60,0.575,3.5434471800817,414
61,0.575,3.5434471800817,339
62,0.575,3.5434471800817,274
63,0.575,3.5434471800817,216
64,0.575,3.5434471800817,181
65,0.575,3.5434471800817,152
66,0.575,3.5434471800817,117
67,0.575,3.5434471800817,95
68,0.575,3.5434471800817,74
69,0.575,3.5434471800817,65
70,0.575,3.5434471800817,50
71,0.575,3.5434471800817,38
72,0.575,3.5434471800817,31
73,0.575,3.5434471800817,27
74,0.575,3.5434471800817,22
75,0.575,3.5434471800817,21
76,0.575,3.5434471800817,18
77,0.575,3.5434471800817,14
78,0.575,3.5434471800817,7
79,0.575,3.5434471800817,6
80,0.575,3.5434471800817,5
81,0.575,3.5434471800817,3
82,0.575,3.5434471800817,2
83,0.575,3.5434471800817,2
84,0.575,3.5434471800817,2
85,0.575,3.5434471800817,1
86,0.575,3.5434471800817,1
87,0.575,3.5434471800817,1
88,0.575,3.5434471800817,1
89,0.575,3.5434471800817,1
90,0.575,3.5434471800817,1
91,0.575,3.5434471800817,1
92,0.575,3.5434471800817,1
93,0.575,3.5434471800817,1
94,0.575,3.5434471800817,1
95,0.575,3.5434471800817,1
96,0.575,3.5434471800817,1
1,0.575,0.66838591669,1
2,0.575,0.66838591669,1
3,0.575,0.66838591669,1
4,0.575,0.66838591669,1
5,0.575,0.66838591669,1
6,0.575,0.66838591669,2
7,0.575,0.66838591669,2
8,0.575,0.66838591669,3
9,0.575,0.66838591669,6
10,0.575,0.66838591669,6
11,0.575,0.66838591669,12
12,0.575,0.66838591669,18
13,0.575,0.66838591669,25
14,0.575,0.66838591669,35
15,0.575,0.66838591669,46
16,0.575,0.66838591669,59
