"t","Pp","Virus_D","Virions"
55,0.575,2.5434471800817,356408
56,0.575,2.5434471800817,316828
57,0.575,2.5434471800817,280607
58,0.575,2.5434471800817,247742
59,0.575,2.5434471800817,217899
60,0.575,2.5434471800817,191585
61,0.575,2.5434471800817,168176
62,0.575,2.5434471800817,147293
63,0.575,2.5434471800817,128758
64,0.575,2.5434471800817,112593
65,0.575,2.5434471800817,98233
66,0.575,2.5434471800817,85607
67,0.575,2.5434471800817,74525
68,0.575,2.5434471800817,64929
69,0.575,2.5434471800817,56406
70,0.575,2.5434471800817,49090
71,0.575,2.5434471800817,42666
72,0.575,2.5434471800817,37235
73,0.575,2.5434471800817,32332
74,0.575,2.5434471800817,28009
75,0.575,2.5434471800817,24351
76,0.575,2.5434471800817,21075
77,0.575,2.5434471800817,18199
78,0.575,2.5434471800817,15614
79,0.575,2.5434471800817,13470
80,0.575,2.5434471800817,11560
81,0.575,2.5434471800817,10038
82,0.575,2.5434471800817,8679
83,0.575,2.5434471800817,7491
84,0.575,2.5434471800817,6392
85,0.575,2.5434471800817,5485
86,0.575,2.5434471800817,4750
87,0.575,2.5434471800817,4092
88,0.575,2.5434471800817,3526
89,0.575,2.5434471800817,3056
90,0.575,2.5434471800817,2666
91,0.575,2.5434471800817,2309
92,0.575,2.5434471800817,2011
93,0.575,2.5434471800817,1753
94,0.575,2.5434471800817,1498
95,0.575,2.5434471800817,1323
96,0.575,2.5434471800817,1177
1,0.575,3.5434471800817,36
2,0.575,3.5434471800817,57
3,0.575,3.5434471800817,83
4,0.575,3.5434471800817,111
5,0.575,3.5434471800817,143
6,0.575,3.5434471800817,204
7,0.575,3.5434471800817,257
8,0.575,3.5434471800817,252
9,0.575,3.5434471800817,270
10,0.575,3.5434471800817,317
11,0.575,3.5434471800817,346
12,0.575,3.5434471800817,379
13,0.575,3.5434471800817,428
14,0.575,3.5434471800817,482
15,0.575,3.5434471800817,519
16,0.575,3.5434471800817,604
17,0.575,3.5434471800817,615
18,0.575,3.5434471800817,660
19,0.575,3.5434471800817,697
20,0.575,3.5434471800817,744
21,0.575,3.5434471800817,788
22,0.575,3.5434471800817,883
23,0.575,3.5434471800817,1010
24,0.575,3.5434471800817,1103
25,0.575,3.5434471800817,1238
26,0.575,3.5434471800817,1404
27,0.575,3.5434471800817,1559
28,0.575,3.5434471800817,1713
29,0.575,3.5434471800817,1925
30,0.575,3.5434471800817,2217
31,0.575,3.5434471800817,2542
32,0.575,3.5434471800817,3136
33,0.575,3.5434471800817,3905
34,0.575,3.5434471800817,4818
35,0.575,3.5434471800817,6151
36,0.575,3.5434471800817,7926
37,0.575,3.5434471800817,10695
38,0.575,3.5434471800817,14990
39,0.575,3.5434471800817,21429
40,0.575,3.5434471800817,30936
41,0.575,3.5434471800817,46009
42,0.575,3.5434471800817,70904
43,0.575,3.5434471800817,113153
44,0.575,3.5434471800817,183229
45,0.575,3.5434471800817,292968
46,0.575,3.5434471800817,440038
47,0.575,3.5434471800817,589517
48,0.575,3.5434471800817,699239
49,0.575,3.5434471800817,757630
50,0.575,3.5434471800817,777954
51,0.575,3.5434471800817,772180
52,0.575,3.5434471800817,747371
53,0.575,3.5434471800817,708272
54,0.575,3.5434471800817,662203
55,0.575,3.5434471800817,612710
56,0.575,3.5434471800817,561425
57,0.575,3.5434471800817,510251
58,0.575,3.5434471800817,462508
59,0.575,3.5434471800817,417136
60,0.575,3.5434471800817,373532
61,0.575,3.5434471800817,333217
62,0.575,3.5434471800817,296277
63,0.575,3.5434471800817,262463
64,0.575,3.5434471800817,231650
65,0.575,3.5434471800817,204582
66,0.575,3.5434471800817,179716
67,0.575,3.5434471800817,157691
68,0.575,3.5434471800817,138070
69,0.575,3.5434471800817,120618
70,0.575,3.5434471800817,105333
71,0.575,3.5434471800817,91769
72,0.575,3.5434471800817,80103
73,0.575,3.5434471800817,69508
74,0.575,3.5434471800817,60384
75,0.575,3.5434471800817,52492
76,0.575,3.5434471800817,45496
77,0.575,3.5434471800817,39427
78,0.575,3.5434471800817,34045
79,0.575,3.5434471800817,29293
80,0.575,3.5434471800817,25397
81,0.575,3.5434471800817,21864
82,0.575,3.5434471800817,18725
83,0.575,3.5434471800817,16068
84,0.575,3.5434471800817,13821
85,0.575,3.5434471800817,11864
86,0.575,3.5434471800817,10240
87,0.575,3.5434471800817,8814
88,0.575,3.5434471800817,7500
89,0.575,3.5434471800817,6439
90,0.575,3.5434471800817,5482
91,0.575,3.5434471800817,4664
92,0.575,3.5434471800817,4023
93,0.575,3.5434471800817,3528
94,0.575,3.5434471800817,3038
95,0.575,3.5434471800817,2656
96,0.575,3.5434471800817,2260
1,0.575,0.66838591669,36
2,0.575,0.66838591669,57
3,0.575,0.66838591669,83
4,0.575,0.66838591669,111
5,0.575,0.66838591669,128
6,0.575,0.66838591669,176
7,0.575,0.66838591669,214
8,0.575,0.66838591669,265
9,0.575,0.66838591669,408
10,0.575,0.66838591669,588
11,0.575,0.66838591669,894
12,0.575,0.66838591669,1368
13,0.575,0.66838591669,1994
14,0.575,0.66838591669,2820
15,0.575,0.66838591669,4012
16,0.575,0.66838591669,5389
17,0.575,0.66838591669,7265
18,0.575,0.66838591669,9539
19,0.575,0.66838591669,11958
20,0.575,0.66838591669,14491
21,0.575,0.66838591669,17510
22,0.575,0.66838591669,20716
23,0.575,0.66838591669,23935
24,0.575,0.66838591669,27432
25,0.575,0.66838591669,31520
26,0.575,0.66838591669,35766
27,0.575,0.66838591669,39953
28,0.575,0.66838591669,44430
29,0.575,0.66838591669,48970
30,0.575,0.66838591669,53495
31,0.575,0.66838591669,57570
32,0.575,0.66838591669,61689
33,0.575,0.66838591669,65999
34,0.575,0.66838591669,70262
35,0.575,0.66838591669,74918
36,0.575,0.66838591669,79978
37,0.575,0.66838591669,84795
38,0.575,0.66838591669,90119
39,0.575,0.66838591669,95612
40,0.575,0.66838591669,101540
41,0.575,0.66838591669,107340
42,0.575,0.66838591669,113573
43,0.575,0.66838591669,119199
44,0.575,0.66838591669,125611
45,0.575,0.66838591669,130935
46,0.575,0.66838591669,135597
47,0.575,0.66838591669,140695
48,0.575,0.66838591669,145833
49,0.575,0.66838591669,151234
50,0.575,0.66838591669,156006
51,0.575,0.66838591669,160985
52,0.575,0.66838591669,165772
53,0.575,0.66838591669,170936
54,0.575,0.66838591669,176291
55,0.575,0.66838591669,181590
56,0.575,0.66838591669,186960
57,0.575,0.66838591669,191941
58,0.575,0.66838591669,196714
59,0.575,0.66838591669,201191
60,0.575,0.66838591669,206588
61,0.575,0.66838591669,212210
62,0.575,0.66838591669,218657
63,0.575,0.66838591669,224034
64,0.575,0.66838591669,228549
65,0.575,0.66838591669,233096
66,0.575,0.66838591669,237228
67,0.575,0.66838591669,242324
68,0.575,0.66838591669,248266
69,0.575,0.66838591669,254618
70,0.575,0.66838591669,261813
71,0.575,0.66838591669,268123
72,0.575,0.66838591669,273124
73,0.575,0.66838591669,276841
74,0.575,0.66838591669,277993
75,0.575,0.66838591669,276011
76,0.575,0.66838591669,272496
77,0.575,0.66838591669,266995
78,0.575,0.66838591669,260015
79,0.575,0.66838591669,250913
80,0.575,0.66838591669,241749
81,0.575,0.66838591669,231311
82,0.575,0.66838591669,221319
83,0.575,0.66838591669,210682
84,0.575,0.66838591669,200384
85,0.575,0.66838591669,189781
86,0.575,0.66838591669,179691
87,0.575,0.66838591669,169826
88,0.575,0.66838591669,160151
89,0.575,0.66838591669,150468
90,0.575,0.66838591669,140676
91,0.575,0.66838591669,130730
92,0.575,0.66838591669,120560
93,0.575,0.66838591669,110927
94,0.575,0.66838591669,101188
95,0.575,0.66838591669,91874
96,0.575,0.66838591669,83016
1,0.575,-0.33161408331,36
2,0.575,-0.33161408331,57
3,0.575,-0.33161408331,93
4,0.575,-0.33161408331,172
5,0.575,-0.33161408331,239
6,0.575,-0.33161408331,344
7,0.575,-0.33161408331,441
8,0.575,-0.33161408331,508
9,0.575,-0.33161408331,597
10,0.575,-0.33161408331,729
11,0.575,-0.33161408331,940
12,0.575,-0.33161408331,1079
13,0.575,-0.33161408331,1213
14,0.575,-0.33161408331,1386
15,0.575,-0.33161408331,1551
16,0.575,-0.33161408331,1756
17,0.575,-0.33161408331,1938
18,0.575,-0.33161408331,2278
19,0.575,-0.33161408331,2471
20,0.575,-0.33161408331,2565
21,0.575,-0.33161408331,2775
22,0.575,-0.33161408331,3050
23,0.575,-0.33161408331,3684
24,0.575,-0.33161408331,4052
25,0.575,-0.33161408331,4355
26,0.575,-0.33161408331,4730
27,0.575,-0.33161408331,5156
28,0.575,-0.33161408331,5488
29,0.575,-0.33161408331,5724
30,0.575,-0.33161408331,6107
31,0.575,-0.33161408331,6593
32,0.575,-0.33161408331,6925
33,0.575,-0.33161408331,7264
34,0.575,-0.33161408331,7672
35,0.575,-0.33161408331,8276
36,0.575,-0.33161408331,8962
37,0.575,-0.33161408331,9480
38,0.575,-0.33161408331,10126
