"","Rep","MOI","Productive","Productive.Co.Infected","Expressing.HA","Virion.Number","Parent.A.Percent","Parent.B.Percent","Reassortant.Percent","Reassortant.HN.Percent","Parent.A.Number","Parent.B.Number","Reassortant.Number","Reassortant.HN.Number","Six","HA.Neg","NS.Neg"
"150",7,1,20.321,15.808,36.366,2032.1,12.7690357726752,13.2934617435874,73.9375024837375,34.2018394451592,25947.9575936532,27013.6436091439,150248.398797203,69501.5579365079,1,0,0
"151",8,1,10.274,8.507,14.848,1027.4,10.8358910087745,10.8860188742011,78.2780901170243,36.4857895919383,11132.7944224149,11184.2957913542,80422.9097862308,37485.5002267574,1,0,0
"152",9,1,18.101,14.121,21.772,1810.1,12.8562753981781,13.0314271602434,74.1122974415785,34.2556572838148,23271.1440982422,23588.1863027565,134150.669599001,62006.1652494331,1,0,0
"153",10,1,29.427,21.914,38.179,2942.7,14.4318631701928,14.5125805297033,71.0555563001038,33.2014146694688,42468.6437509265,42706.170724758,209095.185524316,97701.8029478458,1,0,0
"154",11,1,38.354,26.507,45.851,3835.4,16.8266992210788,16.9967927051464,66.1765080737749,31.1208236505915,64537.1221925255,65189.4987413183,253813.379066156,119360.807029478,1,0,0
"155",12,1,23.63,18.067,31.015,2363,13.6116573293966,13.6370378966363,72.7513047739671,33.9474108108471,32164.3462693643,32224.3205497516,171911.333180884,80217.7317460318,1,0,0
"156",13,1,29.098,21.579,39.365,2909.8,14.7088621433669,14.5376957403144,70.7534421163187,33.1767043896854,42799.8470647689,42301.7870651668,205878.365870064,96537.5744331066,1,0,0
"157",1,1.5,45.621,37.722,49.406,4562.1,10.8310470902378,10.9698927218001,78.1990601879621,36.2788825410287,49412.3199303738,50045.7475861244,356751.932483502,165507.890040427,1,0,0
"158",2,1.5,41.978,35.288,50.036,4197.8,10.1552835640624,10.3598230553933,79.4848933805442,36.6008096077537,42629.8493452213,43488.46522193,333661.685432849,153642.878571429,1,0,0
"159",3,1.5,36.146,30.921,44.263,3614.6,9.66280992869293,9.67299531460858,80.6641947566985,37.2067018117796,34927.1927682535,34964.0088641842,291568.798367562,134487.344368859,1,0,0
"160",4,1.5,53.88,43.849,64.245,5388,11.4236951256469,11.4932161576198,77.0830887167333,35.7040677740467,61550.8693369856,61925.4486572556,415323.682005759,192373.517166564,1,0,0
"161",5,1.5,43.702,36.463,50.749,4370.2,10.5492205588198,10.6285048183415,78.8222746228386,36.3611044033168,46102.2036861545,46448.6917571162,344469.104556729,158905.298463375,1,0,0
"162",6,1.5,52.235,42.645,63.368,5223.5,11.4071553699081,11.3021368492783,77.2907077808136,35.772341388054,59585.2760747151,59036.7118322051,403728.01209308,186856.8252405,1,0,0
"163",7,1.5,36.803,31.256,55.654,3680.3,9.81603116342079,9.95856545535808,80.2254033812211,36.9449737534337,36125.9394907375,36650.5084453543,295253.552063908,135968.586904762,1,0,0
"164",8,1.5,21.808,19.182,27.868,2180.8,8.57460420524083,8.7041203478877,82.7212754468715,37.9177120453831,18699.4968507892,18981.9456546735,180398.557494537,82690.9464285714,1,0,0
"165",9,1.5,33.639,28.605,37.583,3363.9,9.97896776339551,9.85739958256523,80.1636326540393,36.9067460177025,33568.2496592862,33159.3064557912,269662.443884923,124150.602928949,1,0,0
"166",10,1.5,49.247,40.559,57.849,4924.7,10.9952818134503,11.0477384379764,77.9569797485733,35.9568275515737,54148.4643466985,54406.7974855024,383914.738167799,177076.588643235,1,0,0
"167",11,1.5,57.497,45.205,64.35,5749.7,12.7456357645288,12.6842017385442,74.570162496927,34.535599854659,73283.5819553113,72930.3547361074,428756.063308581,198569.338484333,1,0,0
"168",12,1.5,41.894,35.271,49.525,4189.4,10.1692797061551,10.2994371131324,79.5312831807125,36.6918611849667,42603.180400966,43148.4618417568,333188.357757277,153716.883248299,1,0,0
"169",13,1.5,48.609,39.939,58.654,4860.9,11.209667133902,11.0986960349863,77.6916368311117,35.9499543066648,54489.0709711841,53949.651556465,377651.277472351,174749.132889267,1,0,0
"170",1,2,61.655,54.429,64.676,6165.5,8.3671661332974,8.51251358556207,83.1203202811405,38.3490368649902,51587.7627948451,52483.9025117829,512478.334693372,236440.986791097,1,0,0
"171",2,2,57.995,51.744,65.085,5799.5,8.00549435283774,8.05453686212032,83.9399687850419,38.6661637682785,46427.8644992825,46712.2865318668,486809.848968851,224244.416774131,1,0,0
"172",3,2,52.332,47.188,59.76,5233.2,7.56914517677191,7.58921099445113,84.841643828777,39.2072897583668,39610.8505390828,39715.8589761617,443993.290484756,205179.588763485,1,0,0
"173",4,2,69.537,60.505,77.864,6953.7,8.93779359593927,9.02056283204786,82.0416435720129,37.8919065224774,62150.7353280829,62726.2877652112,570492.976906706,263488.950385351,1,0,0
"174",5,2,60.03,53.102,65.845,6003,8.34015781902493,8.35265077583515,83.3071914051399,38.4132726285983,50065.9673876066,50140.9626073384,500093.070005055,230594.875589476,1,0,0
"175",6,2,68.301,59.407,77.427,6830.1,8.9901013390875,9.02811614155383,81.9817825193587,37.8277203980406,61403.2911561015,61662.9360584268,559943.772785472,258367.113090657,1,0,0
"176",7,2,52.479,47.083,70.262,5247.9,7.76234028018983,7.82901461083006,84.4086451089801,39.0314998285506,40735.9855564082,41085.8857761751,442968.128667417,204833.407950251,1,0,0
"177",8,2,34.519,31.783,40.853,3451.9,6.61739691138289,6.83186955522223,86.5507335333949,39.8354297924814,22842.5923984026,23582.9305176716,298764.477083926,137507.920100667,1,0,0
"178",9,2,48.525,43.584,51.899,4852.5,7.75839414544393,7.72245114299403,84.519154711562,38.9186589270779,37647.6075907667,37473.1941713785,410129.198237855,188852.792443645,1,0,0
"179",10,2,65.821,57.783,72.712,6582.1,8.54612016860223,8.73038683640777,82.72349299499,38.2455197928943,56251.4175617568,57464.2791959196,544494.303242324,251735.83582881,1,0,0
"180",11,2,71.899,61.526,77.079,7189.9,9.55241615721373,9.68962310335982,80.7579607394265,37.2953591726949,68680.916928751,69667.4211508468,580641.661920402,268149.902915759,1,0,0
"181",12,2,58.084,51.65,64.688,5808.4,8.12991864862414,8.18882595990974,83.6812553914661,38.6202039262986,47221.8194786685,47563.9767055397,486054.203815792,224321.592485513,1,0,0
"182",13,2,64.696,56.763,72.999,6469.6,8.64759550528955,8.67617085526867,82.6762336394418,38.1576849665946,55946.4838810213,56131.3549652462,534882.161153732,246864.958659881,1,0,0
"183",1,5,96.922,95.859,97.146,9692.2,2.85814109512205,2.84928344260898,94.292575462269,44.4968592619999,27701.675122142,27615.8249824547,913902.499895403,431272.459339156,1,0,0
"184",2,5,96.748,95.784,97.435,9674.8,2.7928001426225,2.82021734937193,94.3869825080056,44.5879083717741,27019.7828198442,27285.0388117036,913175.178368452,431379.095915241,1,0,0
"185",3,5,95.496,94.603,96.42,9549.6,2.77986318660013,2.76092609006749,94.4592107233324,44.5626326068368,26546.5814867566,26365.7397897085,902047.678723535,425555.316342249,1,0,0
"186",4,5,98.653,97.565,99.191,9865.3,2.85091167124409,2.90145462970745,94.2476336990485,44.4904212591432,28125.0989103243,28623.720358453,929781.180731223,438911.352847825,1,0,0
"187",5,5,96.754,95.719,97.203,9675.4,2.82912391749623,2.85667541610632,94.3142006663975,44.5363407637358,27372.905551343,27639.477320995,912527.617127662,430906.911425449,1,0,0
"188",6,5,98.33,97.259,99.128,9833,2.87264002673696,2.85587969419962,94.2714802790634,44.483724183927,28246.6693829046,28081.8650330648,926971.465584031,437408.459900555,1,0,0
"189",7,5,94.712,93.837,98.28,9471.2,2.78701594824544,2.79260669091666,94.4203773608379,44.5737069454126,26396.3854490222,26449.3364910099,894274.278059968,422166.493221392,1,0,0
"190",8,5,86.119,85.507,87.637,8611.9,2.6751436412585,2.5791600411645,94.745696317577,44.7902965930878,23038.069524154,22211.4683585046,815940.462117341,385729.555230013,1,0,0
"191",9,5,92.09,91.267,92.386,9209,2.72645760569445,2.77672195374011,94.4968204405654,44.5931810960066,25107.9480908402,25570.8324719926,870221.219437167,410658.604713125,1,0,0
"192",10,5,98.164,97.127,98.703,9816.4,2.87515885642055,2.85542162612271,94.2694195174567,44.4265361135803,28223.7093981667,28029.960850671,925386.329751162,436108.64910535,1,0,0
"193",11,5,98.149,96.969,98.522,9814.9,2.91398046301468,2.93937773363799,94.1466418033473,44.4263659500906,28600.4268464428,28849.6985178835,924039.874635674,436040.339163545,1,0,0
"194",12,5,96.723,95.76,97.383,9672.3,2.84924685890236,2.79318182104058,94.3575713200571,44.5197441478776,27558.7703933613,27016.4925276508,912654.737078988,430608.321321517,1,0,0
"195",13,5,97.758,96.706,98.493,9775.8,2.87210305682938,2.87417849357511,94.2537184495955,44.4555113193056,28077.1050629527,28097.3941174915,921405.500819556,434588.187555267,1,0,0
"196",1,10,99.974,99.966,99.974,9997.4,1.22243645974006,1.22515445914082,97.5524090811191,47.3745918579623,12221.1862626053,12248.3591898145,975270.45454758,473622.744640793,1,0,0
"197",2,10,99.969,99.956,99.973,9996.9,1.22197577420962,1.23339716353629,97.5446270622541,47.3824635228595,12215.9696171961,12330.1481041559,975143.882278648,473677.749591674,1,0,0
"198",3,10,99.95,99.938,99.957,9995,1.22954802890596,1.21605515533546,97.5543968157586,47.3693441183559,12289.3325489151,12154.4712775779,975056.196173507,473456.594462967,1,0,0
"199",4,10,99.996,99.985,99.999,9999.6,1.23367145911817,1.22580201079395,97.5405265300879,47.3492971428504,12336.2211225981,12257.5297871352,975366.249090267,473474.031709647,1,0,0
"200",5,10,99.962,99.958,99.964,9996.2,1.23253033610726,1.2281446249926,97.5393250389001,47.3671303198488,12320.6197457954,12276.779300351,975022.600953853,473491.308103273,1,0,0
"201",6,10,99.994,99.985,99.996,9999.4,1.22749803719958,1.22694586310703,97.5455560996934,47.3521699950589,12274.2438731735,12268.7224635524,975397.033663274,473493.288648592,1,0,0
"202",7,10,99.91,99.899,99.987,9991,1.23554927433738,1.23485966666609,97.5295910589965,47.3131100330568,12344.3727999048,12337.4829296609,974418.144270434,472705.28234027,1,0,0
"203",8,10,99.358,99.344,99.387,9935.8,1.21456065359473,1.22420910816129,97.561230238244,47.3784030041782,12067.6317419865,12163.4968568689,969348.871401145,470742.336568913,1,0,0
"204",9,10,99.662,99.656,99.663,9966.2,1.23909098934956,1.22437520666437,97.5365338039861,47.3607090296517,12349.0286180556,12202.3681846585,972068.603197286,472006.298331315,1,0,0
"205",10,10,99.99,99.983,99.991,9999,1.22569292311459,1.23632862490443,97.537978451981,47.3479903469755,12255.7035382228,12362.0499204194,975282.246541358,473432.555479408,1,0,0
"206",11,10,99.986,99.983,99.986,9998.6,1.23258081724124,1.21938150796926,97.5480376747895,47.3649133822461,12324.0825592683,12192.1079455814,975343.80949515,473582.822943726,1,0,0
"207",12,10,99.965,99.953,99.968,9996.5,1.22815928255836,1.23143522601188,97.5404054914298,47.3645279061659,12277.2942680946,12310.0422368277,975062.663495078,473479.503213987,1,0,0
"208",13,10,99.981,99.978,99.984,9998.1,1.21840683204832,1.22917505617662,97.5524181117751,47.365159869048,12181.7533475023,12289.4151291595,975338.831523338,473561.604886728,1,0,0
