"","Rep","MOI","Productive","Productive.Co.Infected","Expressing.HA","Virion.Number","Parent.A.Percent","Parent.B.Percent","Reassortant.Percent","Reassortant.HN.Percent","Parent.A.Number","Parent.B.Number","Reassortant.Number","Reassortant.HN.Number","Six","HA.Neg","NS.Neg"
"14",1,0.05,0.265,0.061,0.568,26.5,38.1507686932215,39.030070754717,22.8191605520615,11.2788259958071,1010.99537037037,1034.296875,604.70775462963,298.888888888889,1,0,0
"15",2,0.05,0.149,0.035,0.569,14.9,45.0643176733781,31.5436241610738,23.3920581655481,13.9821029082774,671.458333333333,470,348.541666666667,208.333333333333,1,0,0
"16",3,0.05,0.103,0.036,0.396,10.3,32.0388349514563,33.0097087378641,34.9514563106796,17.9611650485437,330,340,360,185,1,0,0
"17",4,0.05,0.373,0.068,1.301,37.3,42.164227733095,39.745308310992,18.090463955913,9.27167113494191,1572.72569444444,1482.5,674.774305555555,345.833333333333,1,0,0
"18",5,0.05,0.178,0.048,0.644,17.8,34.4135802469136,38.8624462477459,26.7239735053405,13.5143570536829,612.561728395062,691.751543209877,475.686728395062,240.555555555556,1,0,0
"19",6,0.05,0.375,0.071,1.295,37.5,41.3744598765432,39.8755144032922,18.7500257201646,9.79259259259259,1551.54224537037,1495.33179012346,703.125964506173,367.222222222222,1,0,0
"20",7,0.05,0.125,0.032,0.764,12.5,33.825,41.0185185185185,25.1564814814815,14.2666666666667,422.8125,512.731481481482,314.456018518518,178.333333333333,1,0,0
"21",8,0.05,0.029,0.013,0.135,2.9,41.3793103448276,14.6551724137931,43.9655172413793,20.6896551724138,120,42.5,127.5,60,1,0,0
"22",9,0.05,0.109,0.029,0.301,10.9,37.6720183486239,35.7798165137615,26.5481651376147,11.4678899082569,410.625,390,289.375,125,1,0,0
"23",10,0.05,0.306,0.058,0.911,30.6,39.9611928104575,41.2879561546841,18.7508510348584,9.25925925925926,1222.8125,1263.41145833333,573.776041666667,283.333333333333,1,0,0
"24",11,0.05,0.796,0.115,1.709,79.6,44.4491680205296,41.308347372795,14.2424846066754,6.65829145728643,3538.15377443416,3288.14445087449,1133.70177469136,530,1,0,0
"25",12,0.05,0.158,0.033,0.505,15.8,36.8241131426785,42.6446026722925,20.5312841850289,9.38818565400844,581.820987654321,673.784722222222,324.394290123457,148.333333333333,1,0,0
"26",13,0.05,0.312,0.07,1.057,31.2,34.3711976198955,43.3193108974359,22.3094914826686,11.0576923076923,1072.38136574074,1351.5625,696.056134259259,345,1,0,0
"27",1,0.1,0.704,0.233,1.322,70.4,31.132039799032,36.177754286207,32.690205914761,16.9191919191919,2191.69560185185,2546.91390174897,2301.39049639918,1191.11111111111,1,0,0
"28",2,0.1,0.47,0.183,1.309,47,31.8952341082217,29.7728690570003,38.331896834778,20.596926713948,1499.07600308642,1399.32484567901,1801.59915123457,968.055555555556,1,0,0
"29",3,0.1,0.304,0.108,0.92,30.4,31.115508497807,33.8718704312866,35.0126210709064,17.2697368421053,945.911458333333,1029.70486111111,1064.38368055556,525,1,0,0
"30",4,0.1,1.015,0.291,2.838,101.5,34.8452513987715,36.8920644211992,28.2626841800293,13.9326765188834,3536.79301697531,3744.54453875171,2868.66244427298,1414.16666666667,1,0,0
"31",5,0.1,0.584,0.221,1.555,58.4,29.8899251825075,32.7720039531541,37.3380708643385,18.9497716894977,1745.57163065844,1913.8850308642,2180.54333847737,1106.66666666667,1,0,0
"32",6,0.1,0.962,0.294,2.744,96.2,35.43387304238,34.4313113193322,30.1348156382879,15.1709401709402,3408.73858667695,3312.29214891975,2898.96926440329,1459.44444444444,1,0,0
"33",7,0.1,0.353,0.139,1.817,35.3,31.9835438306579,29.2916152991991,38.724840870143,18.8385269121813,1129.01909722222,1033.99402006173,1366.98688271605,665,1,0,0
"34",8,0.1,0.114,0.05,0.356,11.4,35.0877192982456,21.6820987654321,43.2301819363223,21.3450292397661,400,247.175925925926,492.824074074074,243.333333333333,1,0,0
"35",9,0.1,0.325,0.138,0.72,32.5,30.9891381766382,27.0560897435897,41.9547720797721,20.7521367521368,1007.14699074074,879.322916666667,1363.53009259259,674.444444444444,1,0,0
"36",10,0.1,0.736,0.212,1.95,73.6,38.1322800995818,33.528907927402,28.3388119730162,13.7416968599034,2806.53581532922,2467.72762345679,2085.73656121399,1011.38888888889,1,0,0
