"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
5,"Diffusion Only",0.575,2.36735592102602,4831,744195,4579
5,"Diffusion Only",0.575,2.5434471800817,5300,766432,5225
5,"Diffusion Only",0.575,2.66838591669,5539,770560,5554
5,"Diffusion Only",0.575,2.76529592969806,5763,783495,6041
5,"Diffusion Only",0.575,3.06632592536204,5745,783134,6075
5,"Diffusion Only",0.575,3.36735592102602,5784,787364,6035
5,"Diffusion Only",0.575,3.5434471800817,5683,772411,6108
5,"Diffusion Only",0.575,3.66838591669,5760,776439,6094
5,"Diffusion Only",0.575,3.76529592969806,5776,786324,6108
5,"Diffusion Only",1,-0.933674074637962,345,79205,0
5,"Diffusion Only",1,-0.632644078973981,518,122744,0
5,"Diffusion Only",1,-0.4565528199183,736,177221,0
5,"Diffusion Only",1,-0.33161408331,869,211430,0
5,"Diffusion Only",1,-0.234704070301943,933,222333,0
5,"Diffusion Only",1,0.0663259253620378,1322,308296,0
5,"Diffusion Only",1,0.367355921026019,1746,397881,0
5,"Diffusion Only",1,0.5434471800817,2036,448135,0
5,"Diffusion Only",1,0.66838591669,2356,489109,0
5,"Diffusion Only",1,0.765295929698057,2522,520468,0
5,"Diffusion Only",1,1.06632592536204,3269,627076,0
5,"Diffusion Only",1,1.36735592102602,3969,700455,0
5,"Diffusion Only",1,1.5434471800817,4430,730834,0
5,"Diffusion Only",1,1.66838591669,4849,760107,0
5,"Diffusion Only",1,1.76529592969806,5278,770651,0
5,"Diffusion Only",1,2.06632592536204,5817,792743,0
5,"Diffusion Only",1,2.36735592102602,6446,806652,0
5,"Diffusion Only",1,2.5434471800817,6542,803621,0
5,"Diffusion Only",1,2.66838591669,6577,811590,0
5,"Diffusion Only",1,2.76529592969806,6622,812152,0
5,"Diffusion Only",1,3.06632592536204,6615,800370,0
5,"Diffusion Only",1,3.36735592102602,6654,811029,0
5,"Diffusion Only",1,3.5434471800817,6653,806322,0
5,"Diffusion Only",1,3.66838591669,6643,810866,0
5,"Diffusion Only",1,3.76529592969806,6667,808431,0
6,"Diffusion Only",0.575,-0.933674074637962,92,19911,61
6,"Diffusion Only",0.575,-0.632644078973981,121,27663,93
6,"Diffusion Only",0.575,-0.4565528199183,177,40849,122
6,"Diffusion Only",0.575,-0.33161408331,209,48441,173
6,"Diffusion Only",0.575,-0.234704070301943,259,57539,184
6,"Diffusion Only",0.575,0.0663259253620378,506,115233,322
6,"Diffusion Only",0.575,0.367355921026019,919,214488,608
6,"Diffusion Only",0.575,0.5434471800817,1045,247500,682
6,"Diffusion Only",0.575,0.66838591669,1219,283042,774
6,"Diffusion Only",0.575,0.765295929698057,1332,305369,846
6,"Diffusion Only",0.575,1.06632592536204,1779,395457,1136
6,"Diffusion Only",0.575,1.36735592102602,2370,498379,1625
6,"Diffusion Only",0.575,1.5434471800817,2645,537833,1828
6,"Diffusion Only",0.575,1.66838591669,2958,580417,2088
6,"Diffusion Only",0.575,1.76529592969806,3198,614745,2320
6,"Diffusion Only",0.575,2.06632592536204,4018,699689,3225
6,"Diffusion Only",0.575,2.36735592102602,4860,746560,4448
6,"Diffusion Only",0.575,2.5434471800817,5516,775531,5587
6,"Diffusion Only",0.575,2.66838591669,5492,760141,5665
6,"Diffusion Only",0.575,2.76529592969806,5615,766024,5919
6,"Diffusion Only",0.575,3.06632592536204,5775,778259,6196
6,"Diffusion Only",0.575,3.36735592102602,5743,783771,6126
6,"Diffusion Only",0.575,3.5434471800817,5763,780946,6174
6,"Diffusion Only",0.575,3.66838591669,5728,775972,6024
6,"Diffusion Only",0.575,3.76529592969806,5762,780482,6060
6,"Diffusion Only",1,-0.933674074637962,357,82337,0
6,"Diffusion Only",1,-0.632644078973981,562,130763,0
6,"Diffusion Only",1,-0.4565528199183,787,188274,0
6,"Diffusion Only",1,-0.33161408331,900,213929,0
6,"Diffusion Only",1,-0.234704070301943,939,225466,0
6,"Diffusion Only",1,0.0663259253620378,1251,293879,0
6,"Diffusion Only",1,0.367355921026019,1745,390602,0
6,"Diffusion Only",1,0.5434471800817,1938,424045,0
6,"Diffusion Only",1,0.66838591669,2232,479228,0
6,"Diffusion Only",1,0.765295929698057,2566,534661,0
6,"Diffusion Only",1,1.06632592536204,3238,616655,0
6,"Diffusion Only",1,1.36735592102602,3901,697378,0
6,"Diffusion Only",1,1.5434471800817,4440,731841,0
6,"Diffusion Only",1,1.66838591669,4738,745908,0
6,"Diffusion Only",1,1.76529592969806,5156,779932,0
6,"Diffusion Only",1,2.06632592536204,5816,794174,0
6,"Diffusion Only",1,2.36735592102602,6447,802545,0
6,"Diffusion Only",1,2.5434471800817,6571,807385,0
6,"Diffusion Only",1,2.66838591669,6593,806747,0
6,"Diffusion Only",1,2.76529592969806,6579,809357,0
6,"Diffusion Only",1,3.06632592536204,6637,802172,0
6,"Diffusion Only",1,3.36735592102602,6625,807139,0
6,"Diffusion Only",1,3.5434471800817,6654,816652,0
6,"Diffusion Only",1,3.66838591669,6586,805850,0
6,"Diffusion Only",1,3.76529592969806,6652,809658,0
7,"Diffusion Only",0.575,-0.933674074637962,82,17294,62
7,"Diffusion Only",0.575,-0.632644078973981,131,31118,88
7,"Diffusion Only",0.575,-0.4565528199183,173,39645,123
7,"Diffusion Only",0.575,-0.33161408331,216,50159,156
