"Rep","Expressing.HA","Reassortant.Percent"
"9",92.386,94.4968204405654
"10",98.703,94.2694195174567
"11",98.522,94.1466418033473
"12",97.383,94.3575713200571
"13",98.493,94.2537184495955
"1",99.974,97.5524090811191
"2",99.973,97.5446270622541
"3",99.957,97.5543968157586
"4",99.999,97.5405265300879
"5",99.964,97.5393250389001
"6",99.996,97.5455560996934
"7",99.987,97.5295910589965
"8",99.387,97.561230238244
"9",99.663,97.5365338039861
"10",99.991,97.537978451981
"11",99.986,97.5480376747895
"12",99.968,97.5404054914298
"13",99.984,97.5524181117751
"Pp_1",0.2,0
"Pp_1",1.977,0.401492159838139
"Pp_1",9.512,2.39548131897488
"Pp_1",18.111,4.92113984597356
"Pp_1",32.9,9.97476558376066
"Pp_1",45.153,14.6132953950988
"Pp_1",54.986,19.230137966619
"Pp_1",63.226,23.9138736435717
"Pp_1",69.989,28.4546597784086
"Pp_1",75.449,32.5462023844543
"Pp_1",79.888,36.5575005838938
"Pp_1",83.582,40.4483646060828
"Pp_1",86.635,44.2627933846231
"Pp_1",95.082,60.3937521224562
"Pp_1",98.181,72.3064414046674
"Pp_1",99.996,94.0468976903568
"Pp_1",100,97.5665199044911
"Fonville_Marshall_Experiments",76.59,95
"Fonville_Marshall_Experiments",71.76,90.47619048
"Fonville_Marshall_Experiments",67.08,76.19047619
"Fonville_Marshall_Experiments",73.87,95.23809524
"Fonville_Marshall_Experiments",77.17,95.23809524
"Fonville_Marshall_Experiments",72.6,85.71428571
"Fonville_Marshall_Experiments",50.96,77.27272727
"Fonville_Marshall_Experiments",51.27,76.19047619
"Fonville_Marshall_Experiments",53.83,85.71428571
"Fonville_Marshall_Experiments",45.62,66.66666667
"Fonville_Marshall_Experiments",42.26,57.14285714
"Fonville_Marshall_Experiments",44.16,61.9047619
"Fonville_Marshall_Experiments",37.75,80.95238095
"Fonville_Marshall_Experiments",31.98,80.95238095
"Fonville_Marshall_Experiments",41.23,71.42857143
"Fonville_Marshall_Experiments",15.79,57.14285714
